"code","V14","V15","V16","V17","V18","V19","V20","V22","V23","V24","V25","V26","V27","SEX","AGE","MARITAL"
"AR",4,4,2,2,4,2,2,2,4,4,3,2,2,1,35,2
"AR",4,4,2,2,4,2,2,1,2,4,2,4,2,2,23,2
"AR",4,4,2,3,2,2,2,1,2,3,2,4,2,2,18,6
"AR",4,4,2,2,3,4,4,1,2,4,2,2,2,1,61,2
"AR",2,2,4,2,4,4,4,1,4,5,4,2,2,2,55,1
"AR",3,4,4,3,3,2,4,1,4,4,4,4,3,2,53,1
"AR",4,4,2,2,2,2,2,2,2,2,2,4,2,1,22,6
"AR",4,4,2,2,2,2,3,1,4,5,4,4,2,1,39,2
"AR",3,2,2,2,2,4,4,2,3,2,2,2,2,2,49,6
"AR",4,4,2,2,2,3,4,1,5,5,5,1,1,1,52,4
"AR",4,4,2,2,2,4,4,1,2,2,4,2,2,2,27,6
"AR",2,2,2,2,2,2,2,2,2,2,2,4,2,2,35,6
"AR",3,2,2,4,2,4,4,2,4,4,4,2,2,1,28,2
"AR",4,4,2,2,2,2,2,2,4,4,3,4,2,1,31,2
"AR",3,4,3,2,2,4,5,1,5,5,5,4,2,1,45,4
"AR",3,2,4,2,4,4,4,1,4,4,4,4,2,2,58,1
"AR",4,4,2,4,3,4,4,1,4,4,4,2,3,2,54,1
"AR",2,2,4,4,4,4,4,2,4,4,4,4,2,2,20,6
"AR",4,4,2,2,4,5,5,1,4,2,2,4,3,1,64,1
"AR",6,1,4,4,4,5,5,2,2,2,4,2,4,1,70,1
"AR",4,4,2,4,2,2,2,2,4,4,4,4,4,2,29,1
"AR",3,6,4,4,2,6,6,2,2,4,4,4,4,2,76,5
"AR",4,4,4,2,2,2,4,2,4,4,4,2,3,2,54,1
"AR",6,1,2,5,5,5,5,1,5,2,5,2,2,1,75,1
"AR",3,3,2,1,2,4,4,1,4,2,2,3,3,2,32,1
"AR",3,4,1,1,1,1,1,1,5,5,5,2,3,2,63,5
"AR",3,1,5,1,5,5,5,1,5,5,2,6,2,1,62,1
"AR",4,4,2,2,2,3,3,1,4,4,4,4,2,2,25,6
"AR",4,4,2,2,2,2,2,1,4,4,2,3,4,2,25,2
"AR",5,2,2,2,4,2,2,2,4,4,4,4,3,2,27,2
"AR",3,2,2,4,4,4,4,2,2,3,2,4,2,2,21,6
"AR",4,4,2,2,4,5,5,1,4,4,4,4,1,1,41,1
"AR",6,4,2,2,2,4,4,2,2,4,4,2,2,1,26,2
"AR",4,2,2,2,2,4,4,1,2,2,2,6,4,1,62,3
"AR",6,4,2,2,1,2,2,2,4,4,4,6,2,2,50,1
"AR",4,2,2,2,2,2,4,2,2,2,2,6,2,2,27,6
"AR",4,4,2,2,2,4,4,2,4,4,4,4,4,2,26,2
"AR",4,2,2,2,4,4,5,4,4,4,4,2,4,1,57,1
"AR",4,3,2,2,2,2,4,1,1,3,3,4,4,1,46,2
"AR",2,4,2,2,4,4,4,1,2,4,4,4,2,2,26,6
"AR",2,2,4,4,4,4,4,1,2,2,2,4,4,2,28,6
"AR",3,2,2,2,4,4,4,2,2,4,4,2,2,2,63,6
"AR",1,2,2,2,2,4,4,1,2,4,4,2,2,1,48,1
"AR",4,4,2,2,2,2,2,2,4,4,2,2,2,2,37,2
"AR",6,2,4,2,4,4,4,2,2,2,2,2,2,2,75,1
"AR",4,2,2,4,2,2,2,2,2,2,4,2,2,1,18,6
"AR",4,4,2,4,2,4,4,1,4,4,3,4,2,2,23,6
"AR",4,2,4,4,4,4,4,2,4,2,4,6,2,1,35,1
"AR",2,4,2,4,2,2,2,2,2,2,4,2,2,2,22,6
"AR",2,2,4,2,4,4,4,2,2,2,2,6,2,2,43,1
"AR",4,4,2,4,2,4,4,2,2,2,2,2,2,2,47,1
"AR",4,2,2,4,2,2,2,2,4,4,4,4,2,1,22,6
